"STATISTIC","Statistic","TLIST(A1)","Year","C03113V03763","Test Centre","UNIT","VALUE"
"ROA09","Waiting at Driver Testing Centres","2007","2007","38","Tipperary","Weeks","19"
"ROA09","Waiting at Driver Testing Centres","2007","2007","39","Waterford","Weeks","14"
"ROA09","Waiting at Driver Testing Centres","2007","2007","40","Wexford","Weeks","27"
"ROA09","Waiting at Driver Testing Centres","2007","2007","41","Cork","Weeks","18"
"ROA09","Waiting at Driver Testing Centres","2007","2007","42","Killarney","Weeks","21"
"ROA09","Waiting at Driver Testing Centres","2007","2007","43","Kilrush","Weeks","21"
"ROA09","Waiting at Driver Testing Centres","2007","2007","44","Limerick","Weeks","11"
"ROA09","Waiting at Driver Testing Centres","2007","2007","45","Mallow","Weeks","23"
"ROA09","Waiting at Driver Testing Centres","2007","2007","46","Newcastlewest","Weeks","26"
"ROA09","Waiting at Driver Testing Centres","2007","2007","47","Shannon","Weeks","22"
"ROA09","Waiting at Driver Testing Centres","2007","2007","48","Skibbereen","Weeks","29"
"ROA09","Waiting at Driver Testing Centres","2007","2007","49","Tralee","Weeks","20"
"ROA09","Waiting at Driver Testing Centres","2007","2007","50","Churchtown","Weeks",""
"ROA09","Waiting at Driver Testing Centres","2008","2008","01","Dundalk","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","02","Finglas","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","03","Mullingar","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","05","Navan","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","06","Raheny","Weeks","8"
"ROA09","Waiting at Driver Testing Centres","2008","2008","07","Gorey","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2008","2008","08","Naas","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","09","Rathgar","Weeks","11"
"ROA09","Waiting at Driver Testing Centres","2008","2008","10","Tallaght","Weeks","13"
"ROA09","Waiting at Driver Testing Centres","2008","2008","11","Tullamore","Weeks","11"
"ROA09","Waiting at Driver Testing Centres","2008","2008","12","Wicklow","Weeks","13"
"ROA09","Waiting at Driver Testing Centres","2008","2008","13","Athlone","Weeks","8"
"ROA09","Waiting at Driver Testing Centres","2008","2008","14","Birr","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","15","Castlebar","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2008","2008","16","Clifden","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","17","Ennis","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","18","Galway","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","19","Loughrea","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2008","2008","20","Roscommon","Weeks","7"
"ROA09","Waiting at Driver Testing Centres","2008","2008","21","Tuam","Weeks","7"
"ROA09","Waiting at Driver Testing Centres","2008","2008","22","Ballina","Weeks","6"
"ROA09","Waiting at Driver Testing Centres","2008","2008","23","Buncrana","Weeks","8"
"ROA09","Waiting at Driver Testing Centres","2008","2008","24","Carrick-on-Shannon","Weeks","8"
"ROA09","Waiting at Driver Testing Centres","2008","2008","25","Cavan","Weeks","7"
"ROA09","Waiting at Driver Testing Centres","2008","2008","26","Donegal","Weeks","7"
"ROA09","Waiting at Driver Testing Centres","2008","2008","27","Letterkenny","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2008","2008","28","Longford","Weeks","8"
"ROA09","Waiting at Driver Testing Centres","2008","2008","29","Monaghan","Weeks","7"
"ROA09","Waiting at Driver Testing Centres","2008","2008","30","Sligo","Weeks","6"
"ROA09","Waiting at Driver Testing Centres","2008","2008","31","Carlow","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2008","2008","32","Clonmel","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","33","Dungarvan","Weeks","7"
"ROA09","Waiting at Driver Testing Centres","2008","2008","34","Kilkenny","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2008","2008","35","Nenagh","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","36","Portlaoise","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2008","2008","37","Thurles","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","38","Tipperary","Weeks","7"
"ROA09","Waiting at Driver Testing Centres","2008","2008","39","Waterford","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2008","2008","40","Wexford","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","41","Cork","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2008","2008","42","Killarney","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2008","2008","43","Kilrush","Weeks","8"
"ROA09","Waiting at Driver Testing Centres","2008","2008","44","Limerick","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","45","Mallow","Weeks","8"
"ROA09","Waiting at Driver Testing Centres","2008","2008","46","Newcastlewest","Weeks","8"
"ROA09","Waiting at Driver Testing Centres","2008","2008","47","Shannon","Weeks","11"
"ROA09","Waiting at Driver Testing Centres","2008","2008","48","Skibbereen","Weeks","11"
"ROA09","Waiting at Driver Testing Centres","2008","2008","49","Tralee","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2008","2008","50","Churchtown","Weeks",""
"ROA09","Waiting at Driver Testing Centres","2009","2009","01","Dundalk","Weeks","13"
"ROA09","Waiting at Driver Testing Centres","2009","2009","02","Finglas","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2009","2009","03","Mullingar","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2009","2009","05","Navan","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2009","2009","06","Raheny","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2009","2009","07","Gorey","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2009","2009","08","Naas","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2009","2009","09","Rathgar","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2009","2009","10","Tallaght","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2009","2009","11","Tullamore","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2009","2009","12","Wicklow","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2009","2009","13","Athlone","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2009","2009","14","Birr","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2009","2009","15","Castlebar","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2009","2009","16","Clifden","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2009","2009","17","Ennis","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2009","2009","18","Galway","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2009","2009","19","Loughrea","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2009","2009","20","Roscommon","Weeks","11"
"ROA09","Waiting at Driver Testing Centres","2009","2009","21","Tuam","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2009","2009","22","Ballina","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2009","2009","23","Buncrana","Weeks","13"
"ROA09","Waiting at Driver Testing Centres","2009","2009","24","Carrick-on-Shannon","Weeks","11"
"ROA09","Waiting at Driver Testing Centres","2009","2009","25","Cavan","Weeks","9"
"ROA09","Waiting at Driver Testing Centres","2009","2009","26","Donegal","Weeks","8"
"ROA09","Waiting at Driver Testing Centres","2009","2009","27","Letterkenny","Weeks","11"
"ROA09","Waiting at Driver Testing Centres","2009","2009","28","Longford","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2009","2009","29","Monaghan","Weeks","10"
"ROA09","Waiting at Driver Testing Centres","2009","2009","30","Sligo","Weeks","12"
"ROA09","Waiting at Driver Testing Centres","2009","2009","31","Carlow","Weeks","10"
